101 200 97 141 73 70 12 141 183 141 47 70 141 77 
101 200 97 141 73 70 11 141 183 141 47 70 141 77 
181 200 97 141 73 70 11 1 183 141 47 165 141 77 
181 200 97 141 73 70 11 1 183 141 47 165 141 77 
181 200 97 141 73 70 11 1 183 141 47 165 141 77 
181 200 97 141 73 70 11 1 31 141 47 165 127 77 
101 200 97 141 73 70 11 141 183 141 47 70 141 77 
101 200 97 141 73 70 11 141 183 141 47 70 141 77 
101 200 97 141 73 70 11 141 169 141 47 70 141 77 
101 200 97 141 73 70 11 141 183 141 47 70 141 77 
101 200 97 141 73 70 11 141 183 141 47 70 141 77 
97 200 97 141 73 70 11 1 183 141 47 165 141 77 
101 200 97 141 73 70 11 141 169 141 47 70 141 77 
181 200 97 141 73 70 11 1 183 141 47 165 141 77 
181 200 97 141 73 70 11 1 183 141 47 165 141 77 
97 200 97 141 73 70 11 1 183 141 47 165 141 77 
181 200 97 141 73 70 11 1 183 141 47 165 141 77 
77 200 97 141 73 70 11 141 183 141 47 70 141 77 
101 200 97 141 73 70 11 141 169 141 47 70 141 77 
101 200 137 141 73 70 11 141 169 141 47 70 213 77 
97 200 97 141 73 70 11 141 183 141 47 70 141 77 
101 200 97 141 73 70 11 1 183 141 47 165 141 77 
101 200 97 141 73 70 11 1 183 141 47 165 141 77 
101 200 97 141 73 70 11 141 183 141 47 70 141 77 
101 200 97 141 73 70 11 1 183 141 47 165 141 77 
25 200 97 141 73 70 11 141 169 141 47 70 141 77 
101 200 97 141 73 70 11 1 169 141 47 70 141 77 
101 200 97 141 73 70 11 1 183 141 47 165 141 77 
101 200 97 141 103 70 11 231 183 141 47 70 141 77 
101 200 97 141 73 70 11 141 183 141 47 70 141 77 
97 200 97 141 139 70 11 1 183 141 47 165 141 77 
97 200 97 141 73 70 11 141 183 141 47 70 141 77 
97 200 97 141 73 70 11 141 183 141 47 70 141 77 
195 200 97 141 73 70 11 141 183 141 47 165 141 77 
181 200 97 141 73 70 11 1 183 141 225 165 141 77 
